Date,Start_Time,End_Time,Activity
2026-01-20,10:00,12:00,대전복합터미널 출발 → 인천공항
2026-01-20,12:00,16:00,인천공항 점심/수속 준비
2026-01-20,16:00,18:00,간단한 식사 및 면세점 확인
2026-01-20,18:00,20:00,비행기 이동! 18:15 인천 출발
2026-01-20,20:00,22:00,"푸꾸옥 도착, 입국심사"
2026-01-20,22:00,23:59,공항 → 쉐라톤 이동 (픽업 밴)
2026-01-21,0:00,2:00,푸꾸옥 쉐라톤 롱비지 체크인
2026-01-21,8:00,12:00,"푸꾸옥 쉐라톤 롱비지 리조트 조식, 산책"
2026-01-21,12:00,16:00,"빈원더스 놀이공원, 아쿠아리움"
2026-01-21,16:00,18:00,쉐라톤 롱비치 풀빌라 및 프라이빗 비치
2026-01-21,18:00,20:00,그랜드월드 저녁 식사
2026-01-21,20:00,23:59,"그랜드월드 야경 감상, 리조트 복귀"
2026-01-22,8:00,12:00,"리조트 조식 및 휴식, 남부이동"
2026-01-22,12:00,14:00,안토이 케이블카 탑승
2026-01-22,14:00,17:00,혼똔섬 워터파크 물놀이
2026-01-22,17:00,18:00,"본섬 복귀, 케이블카 이동"
2026-01-22,18:00,20:00,선셋 타운 석양 감상 및 버기카
2026-01-22,20:00,22:00,북부 해산물 식당 식사
2026-01-22,22:00,23:59,호텔 귀환 및 휴식
2026-01-23,8:00,12:00,쉐라톤 롱비치 리조트 조식 및 산책
2026-01-23,12:00,14:00,"생신파티, 코코넛 따기 체험"
2026-01-23,14:00,18:00,"파라세일링, 쉐라톤 롱비치 수영 파라세일링"
2026-01-23,18:00,22:00,"서울스파 마사지, 저녁식사"
2026-01-23,22:00,23:59,"킹콩마트 쇼핑, 복귀"
2026-01-24,8:00,10:00,리조트 조식
2026-01-24,10:00,14:00,"쉐라톤 롱비치 리조트 수영장/해변 이용, 체크아웃"
2026-01-24,14:00,18:00,호국사 관광
2026-01-24,18:00,19:00,제니스스파 마사지
2026-01-24,19:00,20:00,저녁 식사
2026-01-24,20:00,22:00,23:45 푸꾸옥 출발 (기내 휴식)
2026-01-24,22:00,23:59,인천 도착 후 귀가 (다음날 아침)
